URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.dk/fhir/core/ValueSet/DkCoreDeCPRValueSet,3.5.0,active,,DkCoreDeCPRValueSet,DK D-eCPR OID values,"DK D-eCPR OID values",,"Internal"
http://hl7.dk/fhir/core/ValueSet/DkCoreProfessionGroupValueSet,3.5.0,active,,DkCoreProfessionGroupValueSet,DK Profession Group,"DK Profession Group codes",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-IEEEBasicObservation,3.5.0,active,,IEEEBasicObservation,Dk Core IEEE Basic Observation,"IEEE MDC codes for Basic Observations usable in Denmark",,"hl7.terminology.r4"
http://hl7.dk/fhir/core/ValueSet/dk-core-LoincBasicObservation,3.5.0,active,,LoincBasicObservation,DK Core LOINC Basic Observations,"LOINC codes describing Basic Observations usable in Denmark.",,"LOINC"
http://hl7.dk/fhir/core/ValueSet/dk-core-MunicipalityCodes,3.5.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes used in Denmark",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-NPUBasicObservation,3.5.0,active,,NPUBasicObservation,DK Core NPU Basic Observation,"NPU codes for Basic Observations usable in Denmark",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RegionalSubDivisionCodes,3.5.0,active,,RegionalSubdivisionCodes,DK Regional Subdivision Codes,"Subdivision codes (Regional codes) used in Denmark",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RelatedPersonRelationshipTypes,3.5.0,active,,RelatedPersonRelationshipTypes,DK Related Person Relationship Types,"DK Related Person Relationship Types",,"THO (V3),Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-SCTBasicObservation,3.5.0,active,,SCTBasicObservation,DK Core SNOMED CT Basic Observation,"SNOMED CT codes for Basic Observations usable in Denmark",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-TechniquesSCTCodes,3.5.0,active,,TechniquesSCTCodes,DK TechniquesSCTCodes,"SNOMED CT Codes for the technique used when obtaining an observation",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-UCUM-BasicUnits,3.5.0,active,,UCUMBasicUnits,DK Core UCUM Basic Units,"UCUM codes to represent units for basic Observations usable in Denmark",,"UCUM"
http://hl7.dk/fhir/core/ValueSet/dk-core-encounter-priority,3.5.0,active,,DkCoreEncounterPriority,DK priority codes for encounters,"Value set used for indicating priority of an encounter",,"THO (V3)"
http://hl7.dk/fhir/core/ValueSet/dk-core-practice-setting-code,3.5.0,active,,SorPracticeSettingCode,DK SOR Practice Setting Code,"Values used for the document metadata attribute practiceSettingCode, which is an attribute specifying the clinical specialty where the act that resulted in the document was performed (e.g., Family Practice, Laboratory, Radiology). The value set is based on a subset of the code list from the SOR lookup table 'SOR-Kliniske specialer' (https://sor.sum.dsdn.dk/lookupdata/#clinical_speciality, accessable on Sundhedsdatanettet (SDN)), which is based on SNOMED CT codes.",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-priority-codes,3.5.0,active,,DkCorePriorityCodes,DK priority codes,"DK Codes for priority",,
http://hl7.dk/fhir/core/ValueSet/dk-core-servicerequest-codes,3.5.0,active,,DkCoreServiceRequestCodes,DK codes for ServiceRequest,"Value set used to describe Danish healthcare services",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-marital-status,3.5.0,active,,,DK MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person in Denmark.",,"Internal"
http://hl7.dk/fhir/core/ValueSet/extended-patient-contactrelationship,3.5.0,active,,extended-patient-contactrelationship,DK Extended Patient Contact Relationship,"DK Extended Patient Contact Relationship",,
http://hl7.dk/fhir/core/ValueSet/sor-organization-type,3.5.0,active,,SorOrganizationType,DK SOR Organization Type,"Value set used for indicating the organization type for organizations from SOR",,"SCT"
