URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.dk/fhir/core/ValueSet/DkCoreDeCPRValueSet,3.4.0,active,,DkCoreDeCPRValueSet,DK D-eCPR OID values,"DK D-eCPR OID values","StructureDefinition/dk-core-d-ecpr-identifier","Internal"
http://hl7.dk/fhir/core/ValueSet/DkCoreProfessionGroupValueSet,3.4.0,active,,DkCoreProfessionGroupValueSet,DK Profession Group,"DK Profession Group codes","StructureDefinition/dk-core-practitioner","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-IEEEBasicObservation,3.4.0,active,,IEEEBasicObservation,Dk Core IEEE Basic Observation,"IEEE MDC codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","hl7.terminology.r4"
http://hl7.dk/fhir/core/ValueSet/dk-core-LoincBasicObservation,3.4.0,active,,LoincBasicObservation,DK Core LOINC Basic Observations,"LOINC codes describing Basic Observations usable in Denmark.","StructureDefinition/dk-core-basic-observation","LOINC"
http://hl7.dk/fhir/core/ValueSet/dk-core-MunicipalityCodes,3.4.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes used in Denmark","StructureDefinition/dk-core-organization,StructureDefinition/dk-core-municipalityCodes","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-NPUBasicObservation,3.4.0,active,,NPUBasicObservation,DK Core NPU Basic Observation,"NPU codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RegionalSubDivisionCodes,3.4.0,active,,RegionalSubdivisionCodes,DK Regional Subdivision Codes,"Subdivision codes (Regional codes) used in Denmark","StructureDefinition/dk-core-RegionalSubDivisionCodes","Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RelatedPersonRelationshipTypes,3.4.0,active,,RelatedPersonRelationshipTypes,DK Related Person Relationship Types,"DK Related Person Relationship Types","StructureDefinition/dk-core-related-person,ValueSet/extended-patient-contactrelationship","THO (V3),Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-SCTBasicObservation,3.4.0,active,,SCTBasicObservation,DK Core SNOMED CT Basic Observation,"SNOMED CT codes for Basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-TechniquesSCTCodes,3.4.0,active,,TechniquesSCTCodes,DK TechniquesSCTCodes,"SNOMED CT Codes for the technique used when obtaining an observation","StructureDefinition/dk-core-observation","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-UCUM-BasicUnits,3.4.0,active,,UCUMBasicUnits,DK Core UCUM Basic Units,"UCUM codes to represent units for basic Observations usable in Denmark","StructureDefinition/dk-core-basic-observation","UCUM"
http://hl7.dk/fhir/core/ValueSet/dk-core-priority-codes,3.4.0,active,,DkCorePriorityCodes,DK priority codes,"DK Codes for priority","StructureDefinition/dk-core-person-servicerequest",
http://hl7.dk/fhir/core/ValueSet/dk-core-servicerequest-codes,3.4.0,active,,DkCoreServiceRequestCodes,DK codes for ServiceRequest,"Value set used to describe Danish healthcare services","StructureDefinition/dk-core-person-servicerequest","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-marital-status,3.4.0,active,,,DK MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person in Denmark.","StructureDefinition/dk-core-patient","Internal"
http://hl7.dk/fhir/core/ValueSet/extended-patient-contactrelationship,3.4.0,active,,extended-patient-contactrelationship,DK Extended Patient Contact Relationship,"DK Extended Patient Contact Relationship","StructureDefinition/dk-core-patient",
http://hl7.dk/fhir/core/ValueSet/sor-organization-type,3.4.0,active,,SorOrganizationType,DK SOR Organization Type,"Value set used for indicating the organization type for organizations from SOR","StructureDefinition/dk-core-organization","SCT"
http://hl7.org/fhir/ValueSet/condition-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.161",Condition/Problem/DiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/dk-core-condition","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","ValueSet/dk-marital-status","THO (V3)"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","ValueSet/extended-patient-contactrelationship","THO (V2)"
http://hl7.org/fhir/ValueSet/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,Request priority,"The clinical priority of a diagnostic order.","ValueSet/dk-core-priority-codes","hl7.fhir.r4.core"
