URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.dk/fhir/core/ValueSet/DkCoreDeCPRValueSet,3.3.0,active,,DkCoreDeCPRValueSet,DK D-eCPR OID values,"DK D-eCPR OID values",,"Internal"
http://hl7.dk/fhir/core/ValueSet/DkCoreProfessionGroupValueSet,3.3.0,active,,DkCoreProfessionGroupValueSet,DK Profession Group,"DK Profession Group codes",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-IEEEBasicObservation,3.3.0,draft,,IEEEBasicObservation,Dk Core IEEE Basic Observation,"IEEE MDC codes for Basic Observations usable in Denmark",,"hl7.terminology.r4"
http://hl7.dk/fhir/core/ValueSet/dk-core-LoincBasicObservation,3.3.0,draft,,LoincBasicObservation,DK Core LOINC Basic Observations,"LOINC codes describing Basic Observations usable in Denmark.",,"LOINC"
http://hl7.dk/fhir/core/ValueSet/dk-core-MunicipalityCodes,3.3.0,draft,,MunicipalityCodes,DK Municipality Codes,"Municipality codes used in Denmark",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-NPUBasicObservation,3.3.0,draft,,NPUBasicObservation,DK Core NPU Basic Observation,"NPU codes for Basic Observations usable in Denmark",,"Other"
http://hl7.dk/fhir/core/ValueSet/dk-core-RegionalSubDivisionCodes,3.3.0,draft,,RegionalSubdivisionCodes,DK Regional Subdivision Codes,"Subdivision codes (Regional codes) used in Denmark",,"Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-RelatedPersonRelationshipTypes,3.3.0,active,,RelatedPersonRelationshipTypes,DK Related Person Relationship Types,"DK Related Person Relationship Types",,"THO (V3),Internal"
http://hl7.dk/fhir/core/ValueSet/dk-core-SCTBasicObservation,3.3.0,draft,,SCTBasicObservation,DK Core SNOMED CT Basic Observation,"SNOMED CT codes for Basic Observations usable in Denmark",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-TechniquesSCTCodes,3.3.0,draft,,TechniquesSCTCodes,DK TechniquesSCTCodes,"SNOMED CT Codes for the technique used when obtaining an observation",,"SCT"
http://hl7.dk/fhir/core/ValueSet/dk-core-UCUM-BasicUnits,3.3.0,draft,,UCUMBasicUnits,DK Core UCUM Basic Units,"UCUM codes to represent units for basic Observations usable in Denmark",,"UCUM"
http://hl7.dk/fhir/core/ValueSet/dk-marital-status,3.3.0,active,,,DK MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person in Denmark.",,"Internal"
http://hl7.dk/fhir/core/ValueSet/sor-organization-type,3.3.0,active,,SorOrganizationType,DK SOR Organization Type,"Value set used for indicating the organization type for organizations from SOR",,"SCT"
