Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.dk.hackathons.json	8639	-	0	0	0	0	0	0	8	62	0	0	0	0	2	0	0	1	0	0	64	63	0	0	0	0	2	0	0
fsh-generated/resources/EpisodeOfCare-EpisodeOfCareExample.json	338	4	0	0	3	0	0	0	0	8824	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/Observation-PhysicalActivityObservationExample.json	840	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0
fsh-generated/resources/Observation-SleepObservationExample.json	829	1	0	0	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	1564	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-TelemedicineQuestionnaireResponseExample.json	3821	2	0	0	0	0	0	0	1	108	0	0	0	0	0	0	0	0	0	0	51	24	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-PhysicalActivityObservation.json	3018	3	0	25	0	0	0	0	0	42	0	0	1	0	1	0	0	1	0	0	222	3643	0	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-SleepObservation.json	3018	2	0	24	0	0	1	0	0	26	0	0	0	0	1	0	0	1	0	0	224	1785	0	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-TelemedicineEpisodeOfCare.json	996	0	0	11	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	105	166	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-TelemedicinePatient.json	651	1	0	23	0	0	0	0	0	19	0	0	0	0	1	0	0	1	0	0	221	280	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-TelemedicineQuestionnaire.json	651	1	0	19	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	213	234	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-TelemedicineQuestionnaireResponse.json	2294	0	0	11	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	171	169	0	0	0	0	3	0	1
fsh-generated/resources/ValueSet-ActivityCodes.json	1067	2	0	0	0	0	0	0	0	3581	0	0	0	0	1	0	0	0	0	0	12	62	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ObservationCodesSCT.json	670	0	0	0	1	0	0	0	0	644	0	0	0	0	1	0	0	0	0	0	9	671	0	0	0	0	0	0	0
input/profiles/MentalHealthQuestionnaire.json	1949	1	0	0	0	0	0	0	1	18	0	0	0	0	1	0	0	0	0	0	52	32	0	0	0	0	1	0	0
input/vocabulary/CodeSystem-MentalHealthCodes.json	2834	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	39	0	0	0	0	0	0	0
input/vocabulary/ValueSet-DesireToBeWithOthersCodes.json	929	4	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	11	36	0	0	0	0	0	0	0
input/vocabulary/ValueSet-EnergyCodes.json	810	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	11	31	0	0	0	0	1	0	0
input/vocabulary/ValueSet-FriendshipCodes.json	803	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	12	30	0	0	0	0	0	0	0
input/vocabulary/ValueSet-LoveCodes.json	776	0	0	0	0	0	0	0	0	21	0	0	0	0	1	0	0	1	0	0	14	28	0	0	0	0	0	0	0
