Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.dk.core.json	50629	-	0	0	1	0	0	0	15	47	0	0	0	0	0	0	0	0	0	0	172	109	0	0	0	5	0	5
fsh-generated/resources/Bundle-ContinuaBundleWithDevice.json	29571	9	16	0	2	0	0	0	1	3963	0	0	0	0	0	0	0	0	0	0	83	48	0	0	0	0	0	0
fsh-generated/resources/Bundle-ElsesTOBS.json	12275	6	6	0	0	0	0	0	1	10269	0	0	0	0	0	0	0	1	0	0	47	36	0	0	0	0	0	1
fsh-generated/resources/Bundle-MaxTOKS.json	13399	5	4	0	1	0	0	1	1	2722	0	0	0	0	0	0	0	0	0	0	48	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DkCoreProfessionGroupCodes.json	2062	4	0	0	1	0	1	0	0	33	0	0	1	0	0	0	0	0	0	0	22	315	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-address-type-dk-supplement.json	1406	4	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	24	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-address-use-dk-supplement.json	1710	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-administrative-gender-supplement.json	1074	5	0	0	1	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	18	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-care-team-status-dk-supplement.json	2107	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-consent-state-codes-dk-supplement.json	2443	5	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-days-of-week-dk-supplement.json	2682	4	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	24	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dk-core-d-ecpr-codes.json	1000	4	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dk-core-municipality-codes-greenland.json	1445	4	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dk-core-municipality-codes.json	17799	5	0	0	4	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	55	44	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-dk-core-regional-subdivision-codes.json	1458	5	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dk-marital-status.json	757	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dk-npu-fragment.json	21839	5	0	0	1	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	56	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dk-relatedperson-relationshipcodes.json	1322	4	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-episode-of-care-status-dk-supplement.json	2825	4	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-publication-status-dk-supplement.json	2263	4	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-request-status-dk-supplement.json	2780	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	24	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-role-code-dk-supplement.json	3223	6	0	0	1	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-v2-0131-supplement.json	2232	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/Condition-ConditionPressureUlcer.json	1251	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/Condition-ElseGraviditet.json	980	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Condition-JohnDiabetes.json	1125	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Condition-JohnFracture.json	1155	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
fsh-generated/resources/Condition-JohnMelanoma.json	1104	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Condition-JohnPacemaker.json	1097	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/Device-BPMonitor.C4F312FFFE53F2C9.json	5573	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	24	14	0	0	0	0	0	0
fsh-generated/resources/Device-Telma.FEEDDADADEADBEEF.json	5042	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0	0	0
fsh-generated/resources/Device-WeightScale.606405FFFECFC604.json	5563	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-94e65db8-2f0c-4a2c-a7c9-06a160d59a12.json	4037	5	0	0	0	0	0	0	0	3128	0	0	0	0	0	0	0	0	0	0	29	25	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-94e65db8-2f0c-4a2c-a7c9-06a160d59a13.json	3794	5	0	0	2	0	0	0	0	851	0	0	0	0	0	0	0	0	0	0	30	16	0	0	0	0	0	0
fsh-generated/resources/Encounter-0c5e4905-5c2e-4254-8837-770c3724cd13.json	1047	5	0	0	1	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/Encounter-915a3cfb-2f3e-477b-8a9d-5d86c30e4929.json	1031	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Location-ambulance.json	868	4	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Location-neuroradiologyUnit.json	888	4	0	0	0	0	0	0	1	1065	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-cpr.json	1278	4	10	0	1	0	0	0	0	21	1869	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-sor.json	1837	4	5	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-CoincidentTimeStamp.0222.json	1021	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseBloodPressure.json	2096	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseBodyTemperature.json	1246	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseConsciousness.json	1018	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseHeartRate.json	1235	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-ElsePainVRS.json	925	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseRespirationRate.json	1234	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ElseUrinStix.json	1001	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ElsesTOBSscore.json	765	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Observation-HeartRate.Poul.1974654.json	2162	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Observation-MaxBloodPressure.json	1944	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Observation-MaxBodyTemperature.json	1091	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Observation-MaxConsciousness.json	1115	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Observation-MaxGlasgowComaScale.json	2713	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
